id,title,section
1,1,
2,2,
3,3,
4,4,
5,5,
6,6,
7,7,
8,8,
9,9,
10,10,
11,11,
12,12,
13,13,
14,14,
15,15,
16,16,
17,17,
18,18,
19,19,
20,20,
21,21,
22,22,
23,23,
24,24,
25,25,
26,26,
27,27,
28,28,
29,29,
30,30,
31,31,
32,32,
33,33,
34,34,
35,35,
36,36,
37,37,
38,38,
39,39,
40,40,
41,41,
42,42,
43,43,
44,44,
45,45,
46,46,
47,47,
48,48,
49,49,
50,50,
51,51,
52,52,
53,53,
54,54,
55,55,
56,56,
57,57,
58,58,
59,59,
60,60,
61,61,
62,62,
63,63,
64,64,
65,65,
66,66,
67,67,
68,68,
69,69,
70,70,
71,71,
72,72,
73,73,
74,74,
75,75,
76,76,
77,77,
78,78,
79,79,
80,80,
81,81,
82,82,
83,83,
84,84,
85,85,
86,86,
87,87,
88,88,
89,89,
90,90,
91,91,
92,92,
93,93,
94,94,
95,95,
96,96,
97,97,
98,98,
99,99,
100,100,
101,101,
102,102,
103,103,
104,104,
105,105,
106,106,
107,107,
108,108,
109,109,
110,110,
111,111,
112,112,
113,113,
114,114,
115,115,
116,116,
117,117,
118,118,
119,119,א Aleph
120,119,ב Beth
121,119,ג Gimel
122,119,ד Daleth
123,119,ה He
124,119,ו Waw
125,119,ז Zayin
126,119,ח Cheth
127,119,ט Teth
128,119,י Yod
129,119,כ Kaph
130,119,ל Lamed
131,119,מ Mem
132,119,נ Nun
133,119,ס Samek
134,119,ע Ayin
135,119,פ Pe
136,119,צ Tsade
137,119,ק Qoph
138,119,ר Resh
139,119,שׂ Sin / שׁ Shin
140,119,ת Taw
141,120,
142,121,
143,122,
144,123,
145,124,
146,125,
147,126,
148,127,
149,128,
150,129,
151,130,
152,131,
153,132,
154,133,
155,134,
156,135,
157,136,
158,137,
159,138,
160,139,
161,140,
162,141,
163,142,
164,143,
165,144,
166,145,
167,146,
168,147,
169,148,
170,149,
171,150,